id,codigo_barras,nombre,marca,categoria,departamento,unidad,precio,precio_descuento,desde_piezas,precio_caja,piezas_caja,precio_unitario_valor,precio_unitario_unidad,stock,disponible
4779925,7501480700228,REFRESCO TEHUACAN NARANJADA 12-600 ML (CONV),TEHUACAN,REFRESCOS,Conveniencia,PZA,15.9,,,190.8,12,26.5,L,84,True
4779922,7501480760000,REFRESCO TEHUACAN SANGRIA 24-600 ML (CONV),TEHUACAN,REFRESCOS,Conveniencia,PZA,14.5,,,348.0,24,24.17,L,95,True
4779912,7501480760024,REFRESCO TEHUACAN TORONJA 24-600ML (CONV),TEHUACAN,REFRESCOS,Conveniencia,PZA,14.5,,,348.0,24,24.17,L,27,True
9998105,7501055354672,Refresco Coca-Cola Original 235 Ml,COCA COLA,REFRESCOS,Conveniencia,PZA,14.0,,,336.0,24,59.57,L,330,True
4790318,7501031303540,Refresco Sabor Sangría Casera 400 Ml,SANGRIA,REFRESCOS,Conveniencia,PZA,13.6,,,163.2,12,34.0,L,51,True
7002044,7501017002214,Frijoles Bayos Reefritos La Costeña Lata 3 Kg,COSTEÑA,REFRITOS,Alimentos y Despensa,PZA,111.8,,,670.8,6,37.27,kg,11,True
7002016,7501017003624,Frijoles Refritos Bayos en Lata La Costeña 820 gr,COSTEÑA,REFRITOS,Alimentos y Despensa,PZA,25.03,,,300.4,12,30.53,kg,7,True
7700540,7501052421360,Frijoles bayos refritos La Sierra Pouch 1.8 Kg,LA SIERRA,REFRITOS,Alimentos y Despensa,PZA,49.3,,,295.8,6,27.39,kg,33,True
0304127,7501025430436,Suavizante de Telas Ensueño Turquesa 1 L,ENSUEÑO,REGULAR,Limpieza y Hogar,PZA,23.9,21.79,,261.5,12,23.9,L,62,True
9970516,7501056910150,Bolsa de Paleta Bubbaloo Xtreme Fresa con 20 pzaz,BUBBAXTREME,RELLENO,Dulcería,PZA,76.0,73.47,,1175.6,16,,,26,True
9970517,7501056910167,Bolsa de Paleta Bubbaloo Xtreme Mora Azul con 20 pzaz,BUBBAXTREME,RELLENO,Dulcería,PZA,76.0,73.47,,1175.6,16,,,13,True
9986631,9986631,Bolsa de Paleta Tutsi Pop con 100 pzas,TUTSI,RELLENO,Dulcería,PZA,334.02,,,2004.1,6,,,6,True
9986633,7501063500085,Bolsa de Paleta Tutsi Pop con 24 pzas,TUTSI,RELLENO,Dulcería,PZA,86.4,84.69,,3049.0,36,,,36,True
9986635,7501063500177,Bolsa de Paleta Tutsi Pop con 50 pzas,TUTSI,RELLENO,Dulcería,PZA,173.3,170.04,,3060.8,18,,,20,True
9986653,7501063501846,Bote de Paleta Tutsi Pop con 100 pzas,TUTSI,RELLENO,Dulcería,PZA,334.02,,,2004.1,6,,,3,True
2300534,7502247332652,HIGIENICO PREMIER RENDIPLUS 500HD 6-6 PZ,PREMIER,RENDIDOR,Alimentos y Despensa,PZA,49.7,45.67,,274.0,6,,,149,True
2291180,7501050410557,Papel Higiénico Big Facial Quality Jumbo 6 rollos con 600 Hojas Dobles c/u,BIG QUALITY,RENDIDOR,Alimentos y Despensa,PZA,52.3,46.0,,368.0,8,,,265,True
2351232,2351232,Papel Higiénico Big Roll 6 Rollos con 550 Hojas Dobles c/u,BIG ROLL,RENDIDOR,Alimentos y Despensa,PZA,52.0,47.75,,382.0,8,,,299,True
2291033,7503022217638,Papel Higiénico El Mil Hojas !000 HD 4 Pzas,EL MIL HOJAS,RENDIDOR,Alimentos y Despensa,PZA,46.5,43.99,,395.9,9,,,86,True
2222216,7503022217010,Papel Higiénico Familiar XL 605 Hojas Dobles,FAMILIAR,RENDIDOR,Alimentos y Despensa,PZA,28.9,27.17,,244.5,9,,,47,True
2291027,7501050410311,Papel Higiénico Mega Hortensia Supreme 4 rollos con 400 Hojas c/u,HORTENSIA,RENDIDOR,Alimentos y Despensa,PZA,26.1,22.9,,458.0,20,,,481,True
2291026,7501136700060,Papel Higiénico Mr. Big 600 HD 4 Pzas,MR BIG,RENDIDOR,Alimentos y Despensa,PZA,28.5,27.95,,279.5,10,,,209,True
2291032,7503005663735,Papel Higiénico Mr. Big XG 800 HD 4 Pzas.,MR BIG,RENDIDOR,Alimentos y Despensa,PZA,39.0,,,390.0,10,,,47,True
2300536,7501036619233,Papel Higiénico Regio Rinde + 400 HD 4 pzas.,REGIO,RENDIDOR,Alimentos y Despensa,PZA,31.3,27.47,,274.7,10,,,224,True
2300015,7501036624015,Papel Higiénico Regio Rinde+ 300 HD 8 Pzas,REGIO,RENDIDOR,Alimentos y Despensa,PZA,69.9,56.38,,281.9,5,,,25,True
2300014,7501036623469,Papel Higiénico Regio Rinde+ 4 Rollos con 600 Hojas Dobles c/u,REGIO,RENDIDOR,Alimentos y Despensa,PZA,42.9,37.55,,375.5,10,,,0,False
2302033,7501036627702,Papel Higiénico Regio Rinde+ 600 HD,REGIO,RENDIDOR,Alimentos y Despensa,PZA,42.5,37.36,,298.9,8,,,0,False
2001508,7506425605330,Papel Higiénico Vogue 4 Rollos con 600 hojas c/u,VOGUE,RENDIDOR,Alimentos y Despensa,PZA,37.3,32.8,,328.0,10,,,-10,False
2001509,7506425620609,Papel Higiénico Vogue 4 Rollos con 800 hojas c/u,VOGUE,RENDIDOR,Alimentos y Despensa,PZA,53.7,47.22,,425.0,9,,,-4,False
2001512,7506425618385,Papel Higiénico Vogue 6 Rollos con 600 hojas c/u,VOGUE,RENDIDOR,Alimentos y Despensa,PZA,59.7,52.49,,419.9,8,,,58,True
2291186,7501050411585,Papel higiénico Big Facial Quality 800 HD 4 Pzas,BIG QUALITY,RENDIDOR,Alimentos y Despensa,PZA,46.7,41.04,,492.5,12,,,0,False
2222218,7503032922072,Papel higiénico Love it empaque Individual 4 Pzas 600 HD,LOVE IT,RENDIDOR,Alimentos y Despensa,PZA,27.5,26.61,,212.9,8,,,396,True
2002223,7506425654758,Papel higiénico Petalo Ultra Resistente  500+100 HD 6 Pzas,PETALO,RENDIDOR,Alimentos y Despensa,PZA,55.0,49.5,,297.0,6,,,0,False
